,url,class,headline,buildings,start,end,all dates,relevance score,headline relevance score,no. buildings mentioned
1,https://www.nyc.gov/site/nycha/about/press/pr-2017/nycha-begins-work-on-largest-public-housing-energy-savings-program-in-the-nation-20170406.page,1,nycha begins work on largest public housing energy savings program in the nation,"['carver', 'clason point gardens', 'eastchester gardens', 'edenwald', 'farragut', 'glenwood', 'ingersoll', 'marcy', 'pelham parkway', 'taft', 'tompkins', 'vladeck', 'vladeck ii', 'wald', 'washington', 'whitman', 'wyckoff gardens']",['December 2016'],['December 2016'],"{'December 2016', '2016', '2050', '2018'}",4.727722772277226,0.09560643564356436,17
0,https://www.nyc.gov/office-of-the-mayor/news/152-16/mayor-de-blasio-dep-that-all-5-300-buildings-have-discontinued-use-most-polluting,1,mayor de blasio dep that all 5 300 buildings have discontinued use most polluting,"['brown', 'johnson']","['April 2015', 'September 2015']","['April 2015', 'September 2015']","{'2008', 'February 9, 2016', 'December 31, 2015', '2050', '2016', '2011', '2009', '1960', 'July 1, 2015', '2025', 'September 2015', '2015', '2030', 'April 2015'}",3.620358910891079,0.012995049504950496,2
12,https://www.nyc.gov/site/nycha/about/press/pr-2017/howard-ave-20170511.page,1,,"['adams', 'brown', 'grant', 'howard', 'howard avenue']",None,None,"{'2015', '2011', '2025'}",2.9266707920792063,0.0,5
3,https://www.nyc.gov/site/nycha/about/press/pr-2018/pr-20181023.page,1,new lighting announcement,"['breukelen', 'corsi houses', 'east 152nd street-courtlandt avenue', 'jefferson', 'king towers', 'lincoln', 'melrose', 'patterson', 'pomonok', 'saint nicholas', 'soundview', 'south jamaica i', 'south jamaica ii']",None,None,"{'2016', '2026', '2015', '2025'}",2.8440594059405946,0.01021039603960396,13
7,https://www.nyc.gov/site/nycha/about/press/pr-2016/nycha-seeks-a-partner-for-state-of-the-art-microgrid-20160622.page,1,nycha seeks a partner for state of the art microgrid,"['adams', 'red hook east']",['April 2016'],['April 2016'],"{'2016', 'April 2016', 'June 29', 'July 22'}",2.182240099009897,0.003094059405940594,2
2,https://www.nyc.gov/site/nycha/about/press/pr-2017/new-lighting-announcement-20170602.page,1,,"['brown', 'brownsville', 'cooper park', 'cypress hills', 'glenmore plaza', 'howard', 'hughes apartments', 'kingsborough', 'kingsborough extension', 'low houses', 'pink', 'roosevelt i', 'sumner', 'tilden', 'van dyke i', 'van dyke ii', 'woodson']","['May 2017', 'May 2018']","['May 2017', 'May 2018']","{'2017', '2018'}",1.9993811881188106,0.0,17
14,https://bklyner.com/103-million-nycha-heat-and-efficiency-investment-wont-repair-boilers/,1,103 million nycha heat and efficiency investment wont repair boilers,"['brown', 'brownsville', 'carey gardens', 'coney island', 'cooper park', 'cypress hills', 'glenmore plaza', 'gowanus', 'gravesend', 'haber', 'howard', 'kingsborough', 'pink', 'sumner', 'tilden', 'whitman', 'woodson']",['December 2019'],['December 2019'],"{'2020', 'December 2019', '2017', 'Jan 8, 2018', '2025', '2018', '2019'}",1.827970297029703,0.04764851485148515,17
8,https://www.nyrealestatelawblog.com/manhattan-litigation-blog/2014/march/chuck-pushed-for-new-boiler-funding/,1,chuck pushed for new boiler funding,"['coney island', 'grant', 'washington']",None,None,{'2016'},1.824566831683169,0.024752475247524754,3
6,https://www.nyc.gov/site/nycha/about/press/pr-2012/nycha-begins-69-million-in-capital-improvements-and-renovations.page,1,nycha begins 69 million in capital improvements and renovations,"['breukelen', 'chelsea', 'edenwald', 'grant', 'lexington', 'red hook east', 'red hook west', 'riis', 'sumner', 'taft', 'wald', 'washington']",['October 2012'],['October 2012'],"{'2012', 'October 2012', '2013'}",1.5516707920792072,0.009900990099009901,12
9,https://citylimits.org/2019/10/23/climate-control-is-a-year-round-issue-at-nycha-especially-for-seniors/,1,climate control is a year round issue at nycha especially for seniors,"['castle hill', 'johnson', 'meltzer tower', 'white']",['July 2019'],['July 2019'],"{'July 2019', 'September 26', 'September 19', 'September 9, 2019', '2013', 'October 15', '1960', '2018', '2019'}",1.537438118811879,0.008663366336633664,4
