url,buildings,dates

https://nychanow.nyc/celebrating-womens-history-month-2/,"['johnson', 'riis']",None

https://nychanow.nyc/meet-the-coaching-and-mentoring-leadership-academy-participants/,['isaacs'],{'january 2023'}

https://nychanow.nyc/celebrating-social-work-month-meet-marina-oteiza-director-of-family-partnerships/,"['grant', 'tompkins']",None

https://nychanow.nyc/celebrating-womens-history-month-meet-michele-moore-director-of-comprehensive-modernization/,"['moore', 'todt hill']",{'september 2021'}

https://nychanow.nyc/celebrating-black-history-month-at-red-hook-houses/,['red hook west'],None

https://nychanow.nyc/daniel-barber-bhm/,"['clinton', 'jackson']",None

https://nychanow.nyc/board-member-raymond-miller-bhm/,"['johnson', 'smith']",None

https://nychanow.nyc/celebrating-black-history-month-8/,['brown'],"{'february 2020', 'december 2018'}"

https://nychanow.nyc/board-member-james-mckoy-bhm/,['adams'],None

https://nychanow.nyc/meet-george-gomez-supervisor-of-rees-job-generation/,['sack wern'],{'march 2019'}

https://nychanow.nyc/meet-yolanda-brooks-community-associate-in-the-office-of-public-safety-security/,"['taft', 'washington']",None

https://nychanow.nyc/nycha-and-resident-leaders-select-pact-partners-to-address-85m-in-repair-needs-at-metro-north-plaza-and-gaylord-white-houses/,"['adams', 'johnson', 'metro north plaza', 'robinson', 'white']",{'novating 523'}

https://nychanow.nyc/meet-richard-meyers-project-manager-in-asset-capital-management/,"['jackson', 'johnson']",None

https://nychanow.nyc/nycha-launches-first-ever-leadership-academy-for-staff/,['woodson'],{'january 31'}

https://nychanow.nyc/nycha-opens-comp-mod-resident-engagement-office-at-todt-hill-houses-ahead-of-renovations/,"['moore', 'todt hill']",None

https://nychanow.nyc/nychas-capital-projects-roundup-december-january/,"['bushwick', 'farragut', 'gowanus', 'marshall plaza', 'nostrand']","{'december 23', 'december 27'}"

https://nychanow.nyc/read-healthy-happenings-the-ehs-newsletter/,['brown'],None

https://nychanow.nyc/resident-groups-awarded-climate-action-grants-for-community-sustainability-projects/,"['grant', 'mill brook', 'red hook west', 'wagner', 'woodside']",{'january 20'}

https://nychanow.nyc/meet-victoria-vasquez-the-voice-of-nycha/,['vladeck'],None

